Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power
1,302.3,310.9,1558,31.9,207,49700.2
0,302.4,310.1,1556,32.9,132,51192.399999999994
0,301.28434124580593,310.96884834656663,1420,49.0865782106908,107,69690.79453924851
0,301.2,310.8,1392,52.6,23,73219.2
0,298.6,309.4,1316,51.4,52,67642.4
0,302.1,311.4,1686,30.9,106,52097.399999999994
0,300.5,309.8,1507,42.5,117,64047.5
0,302.7,312.3,1421,48.5,0,68918.5
1,298.2,307.9,1529,36.6,105,55961.4
0,297.7,308.2,1500,39.9,158,59850.0
1,300.5,311.6,1658,30.4,170,50403.2
0,303.1,312.9,1511,40.1,107,60591.1
0,302.29366061244764,310.8923927349371,1378,49.31521453012572,34,67981.35026761732
0,298.7,308.5,1375,46.4,48,63800.0
1,301.88516473950193,310.8197093044197,1364,48.46690891298356,144,66114.18589147845
0,300.3,311.8,1547,39.7,121,61415.9
0,302.3662084197814,311.1052062110984,1369,60.011689579010934,106,82177.07934462267
0,301.9462180327582,310.6920188525879,1518,40.40964999912626,165,61112.42227459052
1,298.7,309.8,1570,42.1,200,66097.0
0,303.02639566494537,311.2087985549818,1360,47.64399277490896,99,64796.921012242434
0,302.5,312.2,1775,27.9,56,49522.5
0,303.54720068307654,311.9542405919996,1309,52.89648004553843,83,69250.78505938833
1,295.6,306.1,1462,49.2,158,71930.40000000001
2,301.9,311.0,1871,26.0,132,48646.0
0,302.4,310.2,1346,62.4,106,83990.4
1,299.8028523013011,309.1028523013011,1370,63.63611409205205,52,87216.72982774679
0,302.1,311.2,1454,46.8,0,68047.2
1,299.4,309.1,1326,62.0,142,82212.0
0,300.5548848950257,310.65368245932706,1325,55.70450913386987,212,73648.31874052524
0,304.4,313.6,1569,38.4,11,60249.6
0,300.49745041373563,310.99781464034487,1439,53.7363685550766,211,77341.19704659557
1,300.4,311.3,1350,56.5,31,76275.0
0,298.0,308.0,1524,37.0,49,56388.0
0,300.6368958402312,310.8423946755427,1261,63.70226156411049,194,80309.49171646651
0,302.7132112925322,310.62113806805155,1349,51.19735774149356,6,69065.2355932748
0,300.9680205518189,309.79922192194016,1404,51.99922192194015,225,73036.74828954804
0,298.98084920086444,308.57227034905634,1302,66.22244367727993,47,86237.05052070088
1,298.5,309.4,1565,33.7,150,52740.50000000001
1,298.9,309.8,1836,22.8,18,41860.8
1,297.9,308.8,1538,37.6,54,57828.8
1,299.1,308.6,1441,36.2,169,52164.200000000004
0,295.8,306.5,1358,49.2,63,66813.6
0,301.2891128429793,310.26440999478183,1370,47.58499570161308,184,65174.451990359594
1,298.114189690782,307.55299263627285,1594,36.31418969078202,221,57892.25238467994
0,300.913824288552,309.99959625248295,1311,65.37114018034498,175,85738.84977341241
0,302.37414959038716,310.6272561478237,1326,61.382766393591425,128,81433.71155740027
0,300.6,310.2,1378,47.3,71,65179.399999999994
0,295.5,306.1,1488,40.7,31,60561.600000000006
0,299.447837927172,310.8160387146871,1462,59.29316601040401,135,86726.33587460093
0,302.4,311.8,1255,59.0,138,74045.0
1,300.8,311.9,1356,44.3,214,60070.799999999996
0,298.8,308.5,1450,50.8,57,73660.0
0,301.5107645381565,310.61076453815645,1389,61.96487409018888,170,85894.04635521899
0,303.5,312.3,1681,29.8,25,50093.8
2,300.2,309.3,1342,48.7,68,65355.4
0,298.61254044985867,309.31370990883386,1338,53.958024413392195,225,72187.95205218201
1,299.3,308.5,1422,45.4,37,64558.799999999996
0,302.2378004296849,310.6456730397708,1373,48.06141825994271,70,66003.12907154753
0,302.2,311.4,1449,46.5,60,67378.5
0,298.0,308.7,1511,45.8,114,69203.8
0,300.4,310.1,1544,41.9,184,64693.6
0,301.4,310.4,1334,43.2,133,57628.8
1,300.0,310.4,1385,52.1,128,72158.5
0,298.1,307.7,1388,40.3,109,55936.399999999994
0,301.1,312.3,1595,31.9,134,50880.5
0,300.7603009181968,309.601388883433,1356,51.13425925562202,189,69341.4282412845
0,299.6,309.2,1713,26.5,167,45394.5
0,302.4,311.9,1671,29.9,204,49962.899999999994
0,300.7,310.7504906997441,1357,65.3,96,88658.37665493383
0,297.5,308.6,1452,39.0,72,56628.0
0,299.8,309.1,1668,30.3,200,50540.4
1,299.89804591252397,310.65233669184227,1689,28.966015304174647,203,48941.74685500882
0,300.03547690296904,310.3835476902969,1350,48.98354769029691,209,66143.54555002926
0,300.6,310.2,1447,45.9,17,66417.3
0,299.1,310.5,1419,48.8,76,69247.2
0,298.3611042233665,308.28703474112217,1431,62.507444142045216,19,89465.46505005269
0,302.14478789016823,310.6039899084735,1357,55.71595963389419,114,75597.31408336108
0,300.96332396100945,310.42823198623864,1661,30.47862800229356,217,50631.598360550706
0,298.1,308.5,1665,29.6,20,49284.0
0,299.3522339048646,309.81855681992937,1301,63.630756157414645,194,82786.52406741762
1,298.2,309.0,1446,45.8,80,66226.8
0,298.8,309.9,1441,41.6,62,59945.6
0,301.9,311.0,1356,45.7,119,61969.200000000004
0,297.2,308.1,1474,44.3,152,65298.2
0,301.2288628708661,311.3693083035791,1498,39.56260260987829,213,59236.48895443766
1,298.8,309.7,1480,38.1,157,56388.0
0,302.7681190030509,311.4454126687006,1330,61.246501920988784,115,81501.32274958116
0,303.1620110374431,312.5470762324507,1301,56.70096791732164,173,73673.94918792525
0,301.1106350260372,311.77894361979185,1487,39.99493177082526,209,59364.39333085878
0,301.3676575599095,310.570937962321,1675,30.4548436729465,217,51040.68882532019
1,301.8433334928753,311.2711665789186,1328,52.94400038290065,109,70169.88932497334
0,301.0,311.1,1615,35.6,158,57494.0
0,300.3426525529406,310.49604201636765,1367,64.83389463427037,58,88660.07914071783
0,303.0,311.3,1365,56.2,146,76713.0
1,300.6,309.7,1428,42.6,23,60832.8
1,298.7,309.5,1500,38.8,116,58199.99999999999
0,303.13091678272485,311.27455571029975,1371,47.35636107242505,46,64966.740733635794
0,297.3,308.1,1568,34.4,194,53939.2
1,298.3,309.6,1681,27.1,194,45555.100000000006
0,298.70709534543056,309.93079016526195,1797,27.001874624756276,206,48380.17472376904
0,302.00075974360306,310.3030389744122,1366,48.90303897441218,109,66820.21639887008
0,300.78104116241536,309.55402744161023,1363,55.77270137208051,89,76038.30945438983
2,298.3,309.1,1430,40.9,162,58487.0
2,297.7,309.3,1400,48.9,147,68460.0
1,298.5,308.1,1501,39.2,127,58839.200000000004
2,299.7,309.2,1456,40.6,182,59113.6
0,302.1503890317763,310.75038903177625,1333,44.822860325230444,172,59778.285475607714
0,302.2359899629297,310.9149920159668,1330,52.12499429711915,127,69309.68146786434
1,300.5,311.2,1551,36.6,205,56766.600000000006
0,301.1,311.1,1470,40.9,125,60123.0
0,303.0728514457211,311.18190096381403,1320,53.498372216772324,67,70632.74285808267
1,300.7,310.1,1483,40.2,162,59616.600000000006
1,298.3,307.8,1485,42.0,13,62370.0
0,301.9,310.7,1480,47.1,68,69708.0
0,302.5,311.9,1553,40.1,187,62275.3
0,303.0081609966039,311.2978921433537,1325,54.14739898293979,227,71752.88509402119
0,302.7,310.5,1520,39.3,73,59735.99999999999
0,302.34555416025484,310.39305729968146,1340,50.09805102082817,106,67151.37329913845
1,300.3290306585391,311.47743161786696,1374,47.870969341460906,224,65802.34906209649
0,300.5005365469244,309.8872006219854,1346,47.52613530295368,121,63988.49551325417
0,301.1,310.1,1457,39.6,215,57697.200000000004
0,301.8,310.7,1597,30.8,74,49187.6
0,298.1,307.7,1767,27.0,127,47709.0
0,300.7,311.0,1496,38.3,99,57296.799999999996
0,300.8,310.6,1402,53.7,93,75287.40000000001
1,297.4850197204757,308.19167762248645,1403,61.513315804021616,109,86302.0248133465
0,301.417839558714,310.28579458891926,1332,53.6,181,71425.53261591858
0,300.8,310.7,1358,48.1,198,65319.8
0,302.2,311.4,1609,32.1,41,51648.9
1,302.26496179556955,311.5664119704638,1353,54.38542024873482,122,73571.86714418982
0,299.87655016836953,310.2235318232839,1330,54.25876806446972,214,72175.34155990214
0,299.3,308.6,1520,33.7,76,51224.00000000001
1,297.4311130072224,307.8708150676297,1501,36.649780811555885,203,54971.595314103884
0,302.2338070744656,310.1424716796227,1342,62.57258496113187,112,84027.1222445075
2,298.5,309.2,1568,40.6,39,63660.8
0,302.0921212356749,310.74654546060214,1380,47.17527274140492,23,65126.79612181307
0,299.9,311.3,1504,40.7,20,61212.8
0,300.16400340632117,310.7344286930829,1694,27.688573861657975,228,46876.96563642695
0,301.7,311.0,1503,44.8,134,67334.4
0,297.6,308.6,1491,38.1,152,56807.1
1,302.0,311.3,1530,36.4,27,55692.0
0,300.9720021697042,309.9352735162561,1350,60.40582054876821,95,81548.13354716604
2,296.2,307.0,1542,40.6,28,62605.200000000004
2,297.0,308.4,1305,54.6,168,71253.0
1,302.5,311.1,1638,32.0,198,52416.0
0,300.0,309.4,1308,50.2,32,65661.6
0,301.8,311.3,1551,35.8,61,55525.799999999996
0,303.7,312.7,1335,51.1,161,68218.5
0,301.1,310.2,1455,55.3,9,80461.5
1,300.76499432645863,310.24062145403667,1361,65.32437287242199,191,88953.21762443452
0,301.56646537934284,310.49781699666823,1371,50.9482117820083,147,69832.67185463592
0,301.0,310.9,1740,28.9,129,50286.0
0,300.2,311.6,1827,27.0,22,49329.0
1,302.1190886944688,310.673860868086,1369,48.219088694468844,104,66019.2406532906
0,299.7326287317848,309.448963651859,1346,60.62653396802968,193,81609.13821291708
0,298.8,310.0,1403,45.6,185,63976.8
0,301.8,310.8,1557,33.3,190,51848.1
0,298.28710999133324,308.6602474370232,1447,37.2125807123878,219,53747.15188218004
0,302.13539923529703,310.735399235297,1331,44.90530420586647,183,59772.10218456001
0,300.3,310.3,1629,34.1,52,55548.9
0,298.3,308.6,1499,38.3,142,57411.7
0,299.1,308.5,1647,35.0,74,57645.0
0,300.3976875462219,309.7232656596665,1665,29.074421886555484,149,48432.076419981895
1,304.2,313.6,1512,33.4,146,50500.799999999996
1,300.1,308.9,1548,38.4,31,59443.2
0,301.27652296464953,310.37652296464955,1533,37.36368807140348,205,57309.74090990515
0,301.9846160646952,310.22307148243846,1392,44.415428140492494,180,61685.3430615983
1,302.50556740755195,310.33518913585067,1350,53.45010666796773,111,72134.18845918626
1,298.8,310.6,1640,33.8,9,55431.99999999999
2,302.0,310.5,1459,43.2,148,63028.8
0,299.7826350337242,308.9785930634163,1379,50.379191605938416,222,69474.85914404801
0,302.678145687831,311.0620624376418,1358,50.218353813303786,109,68204.18656137961
1,298.4,309.5,1514,38.8,128,58743.2
0,297.968845008649,308.79572950951393,1369,56.852345504901116,201,77864.63027999963
1,302.9,312.5,1679,30.9,79,51881.1
1,298.7,308.3,1349,46.6,74,62863.4
0,298.86521666343594,308.8231881935022,1374,53.13478333656405,214,72978.9739145902
1,301.78185188638275,309.6350197108374,1389,62.55611507399715,145,86904.71566548043
1,303.3,312.1,1693,30.0,80,50790.0
0,299.89307232941957,310.9930723294196,1273,61.42597876467657,194,77943.92628403606
2,301.3,311.0,1580,36.6,184,57828.0
0,303.0720575073214,311.29007188415176,1359,48.75844568174104,62,66264.03571690834
2,300.7,309.6,1403,51.3,174,71973.9
0,299.5,310.7,1472,40.9,104,60204.799999999996
0,302.96752951105714,312.0702940555893,1386,57.6483537106929,235,79673.13576306755
0,302.84597601907996,311.81609592368005,1410,48.58695763225313,213,68387.97086170857
0,302.20946946428137,310.75473473214066,1371,47.52632633929665,108,65162.47299473361
0,297.4,309.0,1583,32.0,166,50656.0
0,301.8039231839827,311.2337270247836,1468,36.384574301875865,201,53367.18553876687
0,296.7,307.9,1743,27.9,55,48629.7
0,300.08503249705336,309.48877437279003,1674,28.99625812426334,162,48550.57268361678
0,302.74045790764546,311.1989503345949,1340,53.51068686146823,224,71681.29921802267
1,299.5,310.1,1359,61.1,67,83034.90000000001
0,302.3958642502464,310.9719922622279,1328,53.97951116539015,226,71727.62291535694
0,301.1,310.8,1470,49.3,116,72471.0
0,301.6,310.1,1362,55.8,70,75999.59999999999
1,296.8,307.4,1472,43.9,30,64620.799999999996
0,299.81425650319886,308.6092667270793,1330,61.0,183,81162.02188171649
1,298.7,309.6,1382,48.1,186,66474.2
0,301.12352655857467,310.2379491915224,1379,59.42846189364181,141,81945.67704383821
0,299.2,310.6,1534,39.7,83,60899.8
0,301.5030357988413,310.3812814827619,1375,50.73102962066683,107,69675.90975212137
0,300.1250331564166,310.2500374811666,1375,64.55004324749993,54,88729.06448941593
0,298.1002364446875,309.4708177257261,1382,42.78197045712319,209,58900.767131646615
0,298.4636972358568,308.8767540041336,1434,37.504377728622934,218,53796.623314889504
1,301.2929415743947,310.34052309688593,1388,46.296470787197364,190,64263.84007102946
1,298.6,309.9,1517,34.0,215,51578.0
0,299.8226430082508,310.0742143360836,1672,27.97180364278509,191,46743.06714923726
0,302.53093053359714,310.456892642832,1330,52.32211367229559,147,69598.37251310633
0,301.5316395489491,310.65023972243023,1359,59.972099739778315,204,81523.60066626742
0,301.1,310.7,1334,48.2,106,64298.8
0,295.6,306.3,1636,32.7,56,53497.200000000004
0,302.0540807492864,310.81320497033636,1701,30.41446583827727,217,51735.18758163097
0,299.86876946981687,309.4078249390497,1394,42.05001730650388,220,58620.7721832721
1,299.1,308.5,1592,34.2,153,54446.4
0,300.2,309.7,1275,60.7,15,77392.5
0,298.1,308.0,1638,35.1,38,57493.8
0,300.5,310.4,1702,33.1,71,56336.200000000004
1,301.9,310.9,1317,51.9,40,68352.3
0,299.30647635160534,309.16976036829317,1345,60.68531360667512,191,81635.03064374039
0,298.3961189445802,309.6961189445802,1254,63.824135936663076,204,80039.3050397881
0,301.5,310.1,1541,42.2,52,65030.200000000004
0,301.9878845859362,309.9605770703191,1316,57.272883820276775,188,75365.22467475267
0,297.5,308.9,1466,43.0,15,63038.0
0,302.853461774159,311.13719790321096,1364,47.43252774189597,118,64712.42429030578
0,298.8,308.6,1431,45.7,97,65396.700000000004
0,299.2412670069881,309.3714030628928,1486,49.93167517470222,225,74100.60517439657
0,298.2,308.0,1538,38.2,59,58751.600000000006
0,299.8201483521255,309.2555778848659,1383,57.01906675845648,167,78844.965542552
0,300.3,309.8,1523,39.2,24,59701.600000000006
0,299.71876003124476,310.4695574223785,1363,49.14637161491902,183,67016.21363589923
0,297.6245648794411,308.134414559742,1349,59.27369463832332,194,79923.2792720129
0,296.2,307.3,1711,29.9,42,51158.899999999994
0,300.8,310.8,1741,27.1,39,47181.100000000006
0,297.2,308.5,1574,35.8,95,56349.2
1,300.7,312.4,1371,61.7,102,84590.7
0,302.47538727762816,310.97516597612633,1372,47.00044260300359,150,64528.78810627652
0,303.07892357458024,311.30379097889676,1352,51.42539778705051,180,69554.88179267195
0,297.94762277197344,309.3305095603493,1333,62.00639613264409,205,82641.87176450135
2,297.4876804654517,308.1814767933634,1557,35.65565742953817,208,55514.349611148165
1,303.7,312.6,1429,43.3,189,61875.7
0,301.61531028517453,311.3146679342775,1363,60.14967882455148,205,81991.39434710935
1,300.6,311.7,1389,52.1,210,72366.90000000001
0,303.30527716419914,311.7052771641991,1344,49.28502132032301,99,66253.80767531627
0,302.9441944132291,310.9441944132291,1361,47.7441944132291,19,64989.85336129385
1,298.5,309.6,1438,44.5,124,63991.0
0,302.07812400170695,311.1343720051209,1374,53.33437200512092,187,73283.8298184478
0,300.6,310.9,1344,46.7,133,62764.8
0,297.3,308.3,1550,37.0,54,57350.0
0,300.0174805321549,309.3217480532155,1308,64.51280256318178,190,84385.67429345114
0,302.9407915042084,310.9407915042084,1361,47.74079150420838,19,64990.37797643454
0,302.5216737477471,310.44975230491957,1370,51.34039278586211,153,70334.53609295642
1,299.2,310.4,1504,43.3,37,65123.2
1,301.9,310.9,1483,37.0,35,54871.0
0,301.1156440434213,310.49156440434217,1348,49.09156440434213,171,66183.2957007979
0,301.5003989551605,311.33962364085,1369,56.07884832653947,206,76825.92854472656
0,298.2,309.0,1377,57.8,8,79590.59999999999
1,303.7,312.4,1474,38.8,139,57191.2
0,301.3833522141709,310.6353007814721,1360,58.0667044283418,186,78951.57522385144
0,300.6443097208046,311.83448202447596,1336,57.054137417133184,194,76236.61112536988
0,297.9,307.5,1561,37.7,16,58849.700000000004
0,301.8314686124939,311.24177568966826,1375,62.82368492609337,103,86321.26363794363
0,301.8852449303482,311.0212351857635,1527,35.87669607585151,212,54802.05326703459
0,302.5895841715742,311.49375050294447,1442,59.78750100588898,168,86228.37525951935
0,301.12561365213224,310.5596051195496,1373,63.82166484762824,97,87579.45186625395
0,300.7,310.5,1536,47.4,192,72806.4
1,302.0692766528015,310.2618443520099,1299,56.5379568191837,140,73403.57792140928
1,301.0,311.6,1448,43.9,145,63567.2
0,300.33480531333964,309.35348053133396,1321,63.65602565398306,159,84124.16694127682
0,298.9,308.5,1459,43.1,147,62882.9
0,303.27222046906985,311.8873700716915,1359,50.39697639082416,115,68387.49127629664
0,300.11674239247066,309.9806531437075,1367,46.82434888404455,161,64042.25961465792
0,300.80883414034304,311.6823317193139,1338,56.942795130615615,179,76200.81985030608
0,298.61242267820825,309.94454344341057,1793,26.41242267820823,214,47318.11050967233
0,300.5,311.5,1708,31.2,57,53289.6
0,302.3,310.7,1402,50.9,157,71361.8
0,302.050491206546,310.04950879345404,1357,45.24852638036203,89,61446.615198759275
0,304.2,313.3,1464,45.9,48,67197.59999999999
0,302.4,311.1,1484,45.9,169,68115.59999999999
1,301.4,310.7,1639,29.8,127,48842.200000000004
0,298.7662625106231,308.21084167374875,1366,55.70554208368743,138,76133.54132533121
0,301.8945535906317,310.86732154379024,1414,47.85249946231201,22,67688.16267200395
0,302.5157251341681,311.1087633512224,1398,45.60516021466904,110,63736.12895352415
0,301.7,310.2,1435,48.1,12,69023.5
0,299.4514834222428,309.3970286849124,1362,53.62277263133481,208,73046.85734111098
0,300.4,310.0,1581,30.3,42,47904.3
0,298.3,308.6,1584,29.3,162,46411.200000000004
0,298.5356160598487,308.7590994798703,1392,56.75474520484329,215,78994.2655831456
0,303.44351300315685,312.58060353312567,1362,59.98387929337486,205,81700.96798678904
1,301.3,311.0,1402,47.5,197,66595.0
1,301.9,311.5,1492,40.8,150,60873.6
0,298.6891367145578,308.4891367145578,1456,50.829927967226126,222,73949.59705662687
0,298.9,309.5,1645,31.1,169,51159.5
0,303.6,312.7,1418,44.1,118,62533.8
1,301.2,310.9,1460,46.7,166,68182.0
0,302.3074831906129,310.1119731049806,1352,50.91945629559351,36,68861.9933188386
1,302.6501731931888,311.65086596594386,1370,55.34821033704929,171,75794.53555253574
1,299.0815701211625,308.3815701211625,1371,63.6072628048465,34,87250.65894150051
0,303.931151592111,312.84098707895225,1361,62.54262044297891,200,85177.29404315435
